"","id_tweet","id_twitter","created_at","created_at_datetime","in_reply_to_user_id","in_reply_to_status_id","in_reply_to_screen_name","text","retweet_count","favorite_count","longitude","latitude","retweeted","creation_date","modification_date","RT_temp","is_retweeted"
"1",454677751706820608,509183078,"Fri Apr 11 17:49:58 +0000 2014","2014-04-11 17:49:58",354503154,454352500871532544,"DivaGastelum","Gracias amiga @DivaGastelum",0,1,0,0,0,"2015-06-03 11:51:44","2015-06-03 11:51:44",0,NA
"2",454677827581771776,509183078,"Fri Apr 11 17:50:16 +0000 2014","2014-04-11 17:50:16",571037477,454359014315266048,"Alejand20552687","Gracias @Alejand20552687 http://t.co/1ctonDoShx",0,0,0,0,0,"2015-06-03 11:51:44","2015-06-03 20:29:37",0,NA
"3",454677932573618176,509183078,"Fri Apr 11 17:50:41 +0000 2014","2014-04-11 17:50:41",194718603,454425113513836544,"CJamesBarousse","Muchas gracias amigo @CJamesBarousse Saludos y un abrazo!!",0,1,0,0,0,"2015-06-03 11:51:44","2015-06-03 20:29:37",0,NA
"4",454678124978921472,509183078,"Fri Apr 11 17:51:27 +0000 2014","2014-04-11 17:51:27",18176168,454434720084803584,"rodrigocuautla","Gracias @rodrigocuautla",1,1,0,0,0,"2015-06-03 11:51:44","2015-06-03 20:29:37",0,NA
"5",454678319980507136,509183078,"Fri Apr 11 17:52:13 +0000 2014","2014-04-11 17:52:13",107143719,454674661591117824,"RAULMDPRI","Excelente muchas gracias @RAULMDPRI http://t.co/QuTj9MwBMC",0,1,0,0,0,"2015-06-03 11:51:44","2015-06-03 20:29:37",0,NA
"6",454678378268749824,509183078,"Fri Apr 11 17:52:27 +0000 2014","2014-04-11 17:52:27",103920745,454675262181871616,"Gammalielg2","Gracias @Gammalielg2 http://t.co/ULkgXAn12v",0,1,0,0,0,"2015-06-03 11:51:44","2015-06-03 20:29:37",0,NA
"7",454678466072305664,509183078,"Fri Apr 11 17:52:48 +0000 2014","2014-04-11 17:52:48",1513700623,454677310130487296,"marcolin1977","Muchas gracias @marcolin1977 http://t.co/cBjyEX7Vhm",1,1,0,0,0,"2015-06-03 11:51:44","2015-06-03 20:29:37",0,NA
"8",457555227139272704,509183078,"Sat Apr 19 16:24:01 +0000 2014","2014-04-19 16:24:01",NA,NA,"","Aprovechemos que es el #EldíaMundialdelaBicicleta y salgamos con la familia!  #Morelos #PorelValoralaFamilia http://t.co/RElqGCdUPi",0,0,0,0,0,"2015-06-03 11:51:44","2015-06-03 20:29:37",0,NA
"9",457912703701372928,509183078,"Sun Apr 20 16:04:30 +0000 2014","2014-04-20 16:04:30",NA,NA,"","Muchas felicidades sen.@EnriqueBurgosG le envío un cordial saludo y un abrazo!!",0,0,0,0,0,"2015-06-03 11:51:44","2015-06-07 22:13:22",0,NA
"10",458610751674937344,509183078,"Tue Apr 22 14:18:18 +0000 2014","2014-04-22 14:18:18",NA,NA,"","Buenos días nos encontramos en la reunión de comisiones unidas para analizar minuta sobre #CompetenciaEconómica http://t.co/4KxeQQjAup",3,0,0,0,0,"2015-06-03 11:51:44","2015-06-11 13:31:54",0,NA
"11",458657977902592000,509183078,"Tue Apr 22 17:25:58 +0000 2014","2014-04-22 17:25:58",NA,NA,"","Les comparto el link para seguir la sesión ordinaria http://t.co/JIgwdjtV6v",1,0,0,0,0,"2015-06-03 11:51:44","2015-06-11 13:31:54",0,NA
"12",459040687380377600,509183078,"Wed Apr 23 18:46:43 +0000 2014","2014-04-23 18:46:43",NA,NA,"","Presenté proyecto de decreto que Reforma el Art.182 de la Ley de Desarrollo Rural Sustentable @senadomexicano http://t.co/uCZ0pitY6q",1,1,0,0,0,"2015-06-03 11:51:44","2015-06-11 13:31:54",0,NA
"13",459046077363023872,509183078,"Wed Apr 23 19:08:08 +0000 2014","2014-04-23 19:08:08",NA,NA,"","Se presentó el decreto por el que se refor.los art. 5,6 y 10 ley d los derechos d las personas Adultas Mayores.",0,0,0,0,0,"2015-06-03 11:51:44","2015-06-14 22:45:47",0,NA
"14",459126552282677248,509183078,"Thu Apr 24 00:27:54 +0000 2014","2014-04-24 00:27:54",NA,NA,"","En la develación d la leyenda conmemorativa por Centenario d la Defensa del Puerto de #Veracruz @senadomexicano http://t.co/hXIHX4DpWr",0,0,0,0,0,"2015-06-03 11:51:44","2015-06-14 22:45:47",0,NA
"15",459373731907784704,509183078,"Thu Apr 24 16:50:07 +0000 2014","2014-04-24 16:50:07",NA,NA,"","Reunión de comisiones Unidas de Relaciones Exteriores y de Marina. 
@senadomexicano http://t.co/CNNhfH9jRj",1,2,0,0,0,"2015-06-03 11:51:44","2015-06-14 22:45:47",0,NA
"16",459722286786830336,509183078,"Fri Apr 25 15:55:09 +0000 2014","2014-04-25 15:55:09",NA,NA,"","RT @minerva_delgado: Eleva Senado d 14 a 15 años edad mínima para trabajar para garantizar a menores derecho a estudiar. Reforma fue impuls…",2,0,0,0,0,"2015-06-03 11:51:44","2015-06-14 22:45:47",1,NA
"17",459722971074932736,509183078,"Fri Apr 25 15:57:52 +0000 2014","2014-04-25 15:57:52",NA,NA,"","Amiga muchas felicidades mis mejores deseos, un abrazo @alvarez_ivonne  que Dios te bendiga siempre!!",0,1,0,0,0,"2015-06-03 11:51:44","2015-06-25 10:30:30",0,NA
"18",459723443986890752,509183078,"Fri Apr 25 15:59:44 +0000 2014","2014-04-25 15:59:44",NA,NA,"","RT @Senado2012: Actividades en el Senado para el viernes 25 de abril de 2014 http://t.co/NX0ssLkgxB",2,0,0,0,0,"2015-06-03 11:51:44","2015-06-30 13:33:01",1,NA
"19",459814083110252544,509183078,"Fri Apr 25 21:59:55 +0000 2014","2014-04-25 21:59:55",NA,NA,"","Aprobamos en la @senadomexicano  con 105 votos a favor la Ley Federal de #CompetenciaEconómica http://t.co/QGeAhQMmzp",0,0,0,0,0,"2015-06-03 11:51:44","2015-07-01 10:23:34",0,NA
"20",459814185812381696,509183078,"Fri Apr 25 22:00:19 +0000 2014","2014-04-25 22:00:19",NA,NA,"","RT @senadomexicano: Por 105 votos a favor, 4 en contra y 1 abstención, aprueba Senado, en lo general, el dictamen que expide la Ley de Comp…",19,0,0,0,0,"2015-06-03 11:51:44","2015-07-01 10:23:34",1,NA
